Subcellular location ID	Name	Category	Gene Ontologies	Is a	Content	Keyword	Links
SL-0444	Host smooth endoplasmic reticulum	Cellular component	GO:0044170:host cell smooth endoplasmic reticulum		Host smooth endoplasmic reticulum		
SL-0445	Host smooth endoplasmic reticulum membrane	Cellular component	GO:0044171:host cell smooth endoplasmic reticulum membrane	SL-0390; Host endoplasmic reticulum membrane; LOCATION	Host smooth endoplasmic reticulum membrane		
SL-0446	Host nucleus outer membrane	Cellular component	GO:0044202:host cell nuclear outer membrane	SL-0418; Host nucleus membrane; LOCATION	Host nucleus outer membrane		
SL-0447	Acrosome outer membrane	Cellular component	GO:0002081:outer acrosomal membrane		Cytoplasmic vesicle, secretory vesicle, acrosome outer membrane		
SL-0448	Spindle pole	Cellular component	GO:0000922:spindle pole		Cytoplasm, cytoskeleton, spindle pole		
SL-0449	Host thylakoid	Cellular component	GO:0044159:host thylakoid		Host thylakoid	KW-1050	
SL-0450	Thylakoid	Cellular component	GO:0009579:thylakoid		Thylakoid	KW-0793	
SL-0451	Target cell membrane	Cellular component		SL-0452; Target membrane; LOCATION	Target cell membrane	KW-1052	
SL-0452	Target membrane	Cellular component		SL-0162; Membrane; LOCATION, SL-0487; Target cell; LOCATION	Target cell, Membrane, target membrane	KW-1053	
SL-0453	Host multivesicular body	Cellular component	GO:0072494:host multivesicular body		Host endosome, host multivesicular body		
SL-0454	Barrier septum	Cellular component	GO:0000935:division septum	SL-0455; Cell septum; LOCATION	Barrier septum		
SL-0455	Cell septum	Cellular component	GO:0030428:cell septum		Cell septum		
SL-0456	Cell tip	Cellular component	GO:0051286:cell tip		Cell tip		
SL-0457	Photoreceptor inner segment	Cellular component	GO:0001917:photoreceptor inner segment		Photoreceptor inner segment		
SL-0458	Photoreceptor outer segment	Cellular component	GO:0001750:photoreceptor outer segment	SL-0066; Cilium; LOCATION	Cell projection, cilium, photoreceptor outer segment		
SL-0459	Host basolateral cell membrane	Cellular component			Host basolateral cell membrane		
SL-0460	Kinocilium	Cellular component	GO:0060091:kinocilium	SL-0066; Cilium; LOCATION	Cell projection, kinocilium		
SL-0461	Host early endosome	Cellular component			Host early endosome		
SL-0462	Host early endosome membrane	Cellular component		SL-0394; Host endosome membrane; LOCATION	Host early endosome membrane		
SL-0463	Host trans-Golgi network	Cellular component			Host Golgi apparatus, host trans-Golgi network		
SL-0464	Host trans-Golgi network membrane	Cellular component		SL-0426; Host Golgi apparatus membrane; LOCATION	Host Golgi apparatus, host trans-Golgi network membrane		
SL-0465	PML body	Cellular component	GO:0016605:PML body	SL-0494; Nuclear body; LOCATION	Nucleus, PML body		
SL-0466	Extracellular exosome	Cellular component			Secreted, extracellular exosome		http://exocarta.ludwig.edu.au/
SL-0467	Cleavage furrow	Cellular component	GO:0032154:cleavage furrow		Cleavage furrow		
SL-0468	Chromosome	Cellular component	GO:0005694:chromosome		Chromosome	KW-0158	
SL-0469	Midbody	Cellular component	GO:0030496:midbody		Midbody		
SL-0470	Filopodium tip	Cellular component	GO:0032433:filopodium tip		Cell projection, filopodium tip		
SL-0471	Pseudopodium tip	Cellular component			Cell projection, pseudopodium tip		
SL-0472	Bleb	Cellular component	GO:0032059:bleb	SL-0280; Cell projection; LOCATION	Cell projection, bleb		
SL-0473	Phagocytic cup	Cellular component	GO:0001891:phagocytic cup	SL-0280; Cell projection; LOCATION	Cell projection, phagocytic cup		
SL-0474	Host glyoxysome	Cellular component		SL-0475; Host peroxisome; LOCATION	Host glyoxysome		
SL-0475	Host peroxisome	Cellular component			Host peroxisome		
SL-0476	A band	Cellular component	GO:0031672:A band		Cytoplasm, myofibril, sarcomere, A band		
SL-0477	H zone	Cellular component	GO:0031673:H zone		Cytoplasm, myofibril, sarcomere, H zone		
SL-0478	I band	Cellular component	GO:0031674:I band		Cytoplasm, myofibril, sarcomere, I band		http://www.sarcomere.org/
SL-0479	Cyanelle envelope	Cellular component	GO:0033112:cyanelle envelope	SL-0210; Plastid envelope; LOCATION	Plastid, cyanelle envelope		
SL-0480	Cyanelle inner membrane	Cellular component	GO:0036012:cyanelle inner membrane	SL-0083; Cyanelle membrane; LOCATION, SL-0211; Plastid inner membrane; LOCATION	Plastid, cyanelle inner membrane		
SL-0481	Cyanelle intermembrane space	Cellular component	GO:0036014:cyanelle intermembrane space	SL-0212; Plastid intermembrane space; LOCATION	Plastid, cyanelle intermembrane space		
SL-0482	Cyanelle outer membrane	Cellular component	GO:0036013:cyanelle outer membrane	SL-0083; Cyanelle membrane; LOCATION, SL-0214; Plastid outer membrane; LOCATION	Plastid, cyanelle outer membrane		
SL-0483	Host chloroplast envelope	Cellular component			Host chloroplast envelope		
SL-0484	Microtubule organizing center	Cellular component			Cytoplasm, cytoskeleton, microtubule organizing center		
SL-0485	Centriolar satellite	Cellular component			Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite		
SL-0486	Target cell cytoplasm	Cellular component		SL-0487; Target cell; LOCATION	Target cell, target cell cytoplasm	KW-1266	
SL-0487	Target cell	Cellular component	GO:0044216:obsolete other organism cell		Target cell		
SL-0488	Inflammasome	Cellular component	GO:0061702:inflammasome complex		Inflammasome	KW-1271	
SL-0489	Bacterial extracellular vesicle	Cellular component	GO:0097691:bacterial extracellular vesicle	SL-0499; Extracellular vesicle; LOCATION	Extracellular vesicle, bacterial extracellular vesicle		
SL-0490	Midbody ring	Cellular component	GO:0090543:Flemming body	SL-0469; Midbody; LOCATION	Midbody, Midbody ring		
SL-0491	Anammoxosome	Cellular component			Anammoxosome		
SL-0492	Anammoxosome membrane	Cellular component		SL-0162; Membrane; LOCATION	Anammoxosome membrane		
SL-0494	Nuclear body	Cellular component	GO:0016604:nuclear body		Nucleus, nuclear body		
SL-0495	Cytoplasmic ribonucleoprotein granule	Cellular component	GO:0036464:cytoplasmic ribonucleoprotein granule		Cytoplasm, Cytoplasmic ribonucleoprotein granule		
SL-0496	Stress granule	Cellular component	GO:0010494:cytoplasmic stress granule	SL-0495; Cytoplasmic ribonucleoprotein granule; LOCATION	Cytoplasm, Stress granule		
SL-0497	Nucleolus fibrillar center	Cellular component	GO:0001650:fibrillar center		Nucleus, nucleolus fibrillar center		
SL-0498	Vesicle	Cellular component			Vesicle		
SL-0499	Extracellular vesicle	Cellular component		SL-0498; Vesicle; LOCATION	Extracellular vesicle		
SL-0500	Extracellular vesicle membrane	Cellular component		SL-0162; Membrane; LOCATION	Extracellular vesicle membrane		
SL-0501	Stress fiber	Cellular component			Cytoplasm, cytoskeleton, stress fiber		
SL-0502	Host synaptic vesicle	Cellular component		SL-0504; Host secretory vesicle; LOCATION	Host secretory vesicle, host synaptic vesicle		
SL-0503	Host synaptic vesicle membrane	Cellular component			Host cytoplasmic vesicle, host secretory vesicle, host synaptic vesicle membrane		
SL-0504	Host secretory vesicle	Cellular component		SL-0386; Host cytoplasmic vesicle; LOCATION	Host cytoplasmic vesicle, host secretory vesicle		
SL-0505	T-tubule	Cellular component	GO:0030315:T-tubule		Cell membrane, sarcolemma, T-tubule		
SL-0506	Host vacuole	Cellular component			Host vacuole		
SL-0507	Host pathogen-containing vacuole	Cellular component	GO:0140220:pathogen-containing vacuole		Host vacuole, host pathogen-containing vacuole		
SL-0508	Host pathogen-containing vacuole lumen	Cellular component	GO:0140222:pathogen-containing vacuole lumen	SL-0507; Host pathogen-containing vacuole; LOCATION	Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole lumen		
SL-0509	Host pathogen-containing vacuole membrane	Cellular component	GO:0140221:pathogen-containing vacuole membrane	SL-0380; Host membrane; LOCATION	Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane		
SL-0510	Magnetosome	Cellular component	GO:0110143:magnetosome		Magnetosome	KW-1281	
SL-0511	Magnetosome lumen	Cellular component	GO:0110145:magnetosome lumen		Magnetosome, Magnetosome lumen		
SL-0512	Magnetosome membrane	Cellular component	GO:0110146:magnetosome membrane	SL-0162; Membrane; LOCATION	Magnetosome membrane		
SL-0513	Photoreceptor outer segment membrane	Cellular component		SL-0162; Membrane; LOCATION	Photoreceptor outer segment membrane		
SL-0514	Photoreceptor inner segment membrane	Cellular component		SL-0162; Membrane; LOCATION	Photoreceptor inner segment membrane		
SL-0515	Postsynapse	Cellular component	GO:0098794:postsynapse		Postsynapse		
SL-0516	Presynapse	Cellular component	GO:0098793:presynapse		Presynapse		
SL-0517	Synaptic cleft	Cellular component	GO:0043083:synaptic cleft		Synaptic cleft		
SL-0518	Neuron projection	Cellular component	GO:0043005:neuron projection	SL-0280; Cell projection; LOCATION	Cell projection, neuron projection		
SL-0519	Presynaptic active zone	Cellular component	GO:0048786:presynaptic active zone		Presynaptic active zone		
SL-0520	Postsynaptic density membrane	Cellular component	GO:0098839:postsynaptic density membrane		Postsynaptic density membrane		
SL-0521	Golgi outpost	Cellular component		SL-0132; Golgi apparatus; LOCATION	Golgi outpost		
SL-0522	Postsynaptic endosome	Cellular component	GO:0098845:postsynaptic endosome	SL-0101; Endosome; LOCATION	Postsynaptic endosome		
SL-0523	Postsynaptic early endosome	Cellular component	GO:0098842:postsynaptic early endosome	SL-0094; Early endosome; LOCATION	Postsynaptic early endosome		
SL-0524	Postsynaptic recycling endosome	Cellular component	GO:0098837:postsynaptic recycling endosome	SL-0232; Recycling endosome; LOCATION, SL-0522; Postsynaptic endosome; LOCATION	Postsynaptic recycling endosome		
SL-0525	Presynaptic endosome	Cellular component	GO:0098830:presynaptic endosome	SL-0101; Endosome; LOCATION	Presynaptic endosome		
SL-0526	Neuronal dense core vesicle	Cellular component	GO:0098992:neuronal dense core vesicle	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle		
SL-0527	Presynaptic active zone membrane	Cellular component	GO:0048787:presynaptic active zone membrane		Presynaptic active zone membrane		
SL-0528	Postsynaptic endocytic zone	Cellular component	GO:0098843:postsynaptic endocytic zone		Postsynaptic endocytic zone		
SL-0529	Presynaptic endocytic zone	Cellular component	GO:0098833:presynaptic endocytic zone		Presynaptic endocytic zone		
SL-0530	Spine apparatus	Cellular component	GO:0097444:spine apparatus	SL-0095; Endoplasmic reticulum; LOCATION	Endoplasmic reticulum, spine apparatus		
SL-0531	Synaptic cell membrane	Cellular component	GO:0097060:synaptic membrane	SL-0039; Cell membrane; LOCATION	Synaptic cell membrane		
SL-0532	Neuronal dense core vesicle membrane	Cellular component	GO:0099012:neuronal dense core vesicle membrane	SL-0245; Secretory vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle membrane		
SL-0533	Postsynaptic recycling endosome membrane	Cellular component		SL-0162; Membrane; LOCATION	Postsynaptic recycling endosome membrane		
SL-0534	Postsynaptic early endosome membrane	Cellular component		SL-0162; Membrane; LOCATION	Postsynaptic early endosome membrane		
SL-0535	Autolysosome	Cellular component	GO:0044754:autolysosome	SL-0023; Autophagosome; LOCATION, SL-0158; Lysosome; LOCATION	Autolysosome		
SL-0536	Autolysosome membrane	Cellular component		SL-0162; Membrane; LOCATION	Autolysosome membrane		
SL-0537	Autolysosome lumen	Cellular component			Autolysosome lumen		
SL-0538	Ascus epiplasm	Cellular component			Ascus epiplasm		
SL-0539	Spore	Cellular component			Spore		
SL-0540	Zona pellucida	Cellular component	GO:0035805:egg coat		Zona pellucida	KW-0272	
SL-0541	Cortical granule	Cellular component	GO:0060473:cortical granule	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, Cortical granule		
SL-0542	Dynein axonemal particle	Cellular component	GO:0120293:dynein axonemal particle		Dynein axonemal particle		
SL-0543	Cytolytic granule	Cellular component	GO:0044194:cytolytic granule		Cytolytic granule		
SL-0544	Bacterial microcompartment	Cellular component	GO:0031469:bacterial microcompartment		Bacterial microcompartment	KW-1283	
SL-0545	Zymogen granule	Cellular component	GO:0042588:zymogen granule	SL-0244; Secretory vesicle; LOCATION	Zymogen granule		
SL-0546	Cytolytic granule lumen	Cellular component		SL-0156; Lysosome lumen; LOCATION	Cytolytic granule lumen		
SL-0547	Cytolytic granule membrane	Cellular component		SL-0157; Lysosome membrane; LOCATION	Cytolytic granule membrane		
SL-0548	Zymogen granule lumen	Cellular component		SL-0347; Secretory vesicle lumen; LOCATION	Zymogen granule lumen		
SL-0549	Zymogen granule membrane	Cellular component		SL-0245; Secretory vesicle membrane; LOCATION	Zymogen granule membrane		
SL-0550	Encapsulin nanocompartment	Cellular component			Encapsulin nanocompartment	KW-1284	
SL-9900	Peptidoglycan-anchor	Topology			Peptidoglycan-anchor	KW-0572	
SL-9901	Lipid-anchor	Topology			Lipid-anchor	KW-0449	
SL-9902	GPI-anchor	Topology		SL-9901; Lipid-anchor; TOPOLOGY	Lipid-anchor, GPI-anchor	KW-0336	
SL-9903	Peripheral membrane protein	Topology		SL-0162; Membrane; LOCATION	Peripheral membrane protein		
SL-9904	Single-pass membrane protein	Topology		SL-0162; Membrane; LOCATION	Single-pass membrane protein		
SL-9905	Single-pass type I membrane protein	Topology		SL-9904; Single-pass membrane protein; TOPOLOGY	Single-pass type I membrane protein		
SL-9906	Single-pass type II membrane protein	Topology		SL-9904; Single-pass membrane protein; TOPOLOGY	Single-pass type II membrane protein		
SL-9907	Single-pass type III membrane protein	Topology		SL-9904; Single-pass membrane protein; TOPOLOGY	Single-pass type III membrane protein		
SL-9908	Single-pass type IV membrane protein	Topology		SL-9904; Single-pass membrane protein; TOPOLOGY	Single-pass type IV membrane protein		
SL-9909	Multi-pass membrane protein	Topology		SL-0162; Membrane; LOCATION	Multi-pass membrane protein		
SL-9910	Cytoplasmic side	Orientation			Cytoplasmic side		
SL-9911	Extracellular side	Orientation			Extracellular side		
SL-9912	Intermembrane side	Orientation			Intermembrane side		
SL-9913	Matrix side	Orientation			Matrix side		
SL-9914	Lumenal side	Orientation			Lumenal side		
SL-9915	Nucleoplasmic side	Orientation			Nucleoplasmic side		
SL-9916	Periplasmic side	Orientation			Periplasmic side		
SL-9917	Stromal side	Orientation			Stromal side		
SL-9918	Extravirionic side	Orientation			Extravirionic side		
SL-9919	Intravirionic side	Orientation			Intravirionic side		
SL-9920	GPI-like-anchor	Topology		SL-9901; Lipid-anchor; TOPOLOGY	Lipid-anchor, GPI-like-anchor	KW-0336	
