,SUID,adjustedPValue_All_genes,description_All_genes,N_All_genes,name,nn_All_genes,nodeFillColor_All_genes,nodeFontSize_All_genes,nodeSize_All_genes,nodeType_All_genes,pValue_All_genes,selected,shared.name,X_All_genes,xx_All_genes,top,names_2,L1,L2
310,1578232,0.0012976,regulation of intracellular transport,14261,32386,97,2.88686296534552,14,7.21110255092798,ellipse,0.00011356,false,32386,565,13,NA,NA,NA,NA
154,1577976,0.0013047,negative regulation of locomotion,14261,40013,72,2.88448487384952,14,6.6332495807108,ellipse,0.00011522,false,40013,565,11,NA,NA,L1,L2
565,1578710,0.0013047,regulation of endocytosis,14261,30100,72,2.88448487384952,14,6.6332495807108,ellipse,0.00011522,false,30100,565,11,NA,NA,NA,L2
1058,1580291,0.0013047,negative regulation of cellular component movement,14261,51271,72,2.88448487384952,14,6.6332495807108,ellipse,0.00011522,false,51271,565,11,NA,NA,L1,L2
127,1577933,0.0013287,positive regulation of multicellular organismal process,14261,51240,278,2.87656784676112,14,10,ellipse,0.0001177,false,51240,565,25,NA,NA,L1,L2
66,1577839,0.0013364,cell surface receptor linked signaling pathway,14261,7166,1277,2.87405240820984,14,17.5499287747842,ellipse,0.00011887,false,7166,565,77,NA,NA,NA,NA
145,1577962,0.0013364,regulation of establishment of protein localization,14261,70201,153,2.87405240820984,14,8.24621125123532,ellipse,0.00011911,false,70201,565,17,NA,NA,NA,NA
427,1578438,0.0013364,leukocyte activation involved in immune response,14261,2366,39,2.87405240820984,14,5.65685424949238,ellipse,0.00011981,false,2366,565,8,NA,NA,NA,L2
835,1579366,0.0013364,cell activation involved in immune response,14261,2263,39,2.87405240820984,14,5.65685424949238,ellipse,0.00011981,false,2263,565,8,NA,NA,NA,L2
353,1578304,0.001337,secretion,14261,46903,295,2.87385972377572,14,10.1980390271856,ellipse,0.00012022,false,46903,565,26,NA,NA,NA,L2
406,1578395,0.0013458,response to nutrient,14261,7584,168,2.87101187106122,14,8.48528137423857,ellipse,0.00012137,false,7584,565,18,NA,NA,L1,L2
72,1577848,0.0013575,positive regulation of positive chemotaxis,14261,50927,21,2.86725061056464,14,4.89897948556636,ellipse,0.00012279,false,50927,565,6,NA,NA,NA,NA
379,1578347,0.0013788,intracellular protein transport,14261,6886,364,2.86050253174425,14,10.9544511501033,ellipse,0.00012508,false,6886,565,30,NA,NA,NA,NA
571,1578722,0.0014395,response to bacterium,14261,9617,231,2.84178436031661,14,9.38083151964686,ellipse,0.00013097,false,9617,565,22,NA,NA,NA,L2
140,1577954,0.0014443,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,14261,2822,50,2.84035163864853,14,6,ellipse,0.00013217,false,2822,565,9,NA,NA,NA,NA
796,1579228,0.0014443,regulation of lymphocyte mediated immunity,14261,2706,50,2.84035163864853,14,6,ellipse,0.00013217,false,2706,565,9,NA,NA,NA,NA
299,1578210,0.0014496,cellular macromolecule localization,14261,70727,436,2.83874877995961,14,11.6619037896906,ellipse,0.00013305,false,70727,565,34,NA,NA,NA,L2
52,1577817,0.0014866,negative regulation of response to stimulus,14261,48585,126,2.82780533367317,14,7.74596669241483,ellipse,0.00013684,false,48585,565,15,NA,NA,L1,L2
264,1578155,0.0015117,hexose metabolic process,14261,19318,185,2.8205354607702,14,8.71779788708135,ellipse,0.00013955,false,19318,565,19,NA,NA,NA,NA
1107,1580749,0.0015397,induction of apoptosis via death domain receptors,14261,8625,14,2.8125773556357,14,4.47213595499958,ellipse,0.00014255,false,8625,565,5,NA,NA,NA,NA
358,1578312,0.0015577,regulation of leukocyte migration,14261,2685,40,2.80752839843346,14,5.65685424949238,ellipse,0.00014463,false,2685,565,8,NA,NA,NA,L2
701,1578998,0.0015933,heterocycle catabolic process,14261,46700,74,2.79770722779375,14,6.6332495807108,ellipse,0.00014836,false,46700,565,11,NA,NA,NA,L2
981,1579840,0.0016578,regulation of adaptive immune response,14261,2819,51,2.78048090976705,14,6,ellipse,0.00015494,false,2819,565,9,NA,NA,NA,NA
993,1579873,0.0016578,regulation of cytokine production,14261,1817,202,2.78048090976705,14,8.94427190999916,ellipse,0.00015525,false,1817,565,20,NA,NA,NA,L2
858,1579436,0.0017069,oxidation reduction,14261,55114,645,2.76778937132187,14,13.4164078649987,ellipse,0.00016031,false,55114,565,45,NA,NA,L1,L2
71,1577847,0.001733,regulation of positive chemotaxis,14261,50926,22,2.76121325255153,14,4.89897948556636,ellipse,0.00016322,false,50926,565,6,NA,NA,NA,NA
982,1579842,0.0017342,regulation of protein localization,14261,32880,172,2.7608962498164,14,8.48528137423857,ellipse,0.0001638,false,32880,565,18,NA,NA,NA,L2
373,1578336,0.0017721,response to estradiol stimulus,14261,32355,63,2.75151304122247,14,6.32455532033676,ellipse,0.0001692,false,32355,565,10,NA,NA,NA,NA
644,1578881,0.0017721,positive regulation of lymphocyte differentiation,14261,45621,31,2.75151304122247,14,5.29150262212918,ellipse,0.00016927,false,45621,565,7,NA,NA,NA,L2
838,1579375,0.0017721,positive regulation of leukocyte migration,14261,2687,31,2.75151304122247,14,5.29150262212918,ellipse,0.00016927,false,2687,565,7,NA,NA,NA,L2
1069,1580389,0.0017721,cellular aldehyde metabolic process,14261,6081,31,2.75151304122247,14,5.29150262212918,ellipse,0.00016927,false,6081,565,7,NA,NA,L1,L2
967,1579787,0.0018885,cellular membrane fusion,14261,6944,52,2.72388200308067,14,6,ellipse,0.00018089,false,6944,565,9,NA,NA,NA,L2
822,1579321,0.0019731,regulation of mitotic cell cycle,14261,7346,174,2.70485664030408,14,8.48528137423857,ellipse,0.00018952,false,7346,565,18,NA,NA,NA,NA
294,1578202,0.0020094,positive regulation of DNA metabolic process,14261,51054,64,2.69692988656272,14,6.32455532033676,ellipse,0.00019354,false,51054,565,10,NA,NA,NA,NA
389,1578366,0.0021253,nucleobase, nucleoside and nucleotide metabolic process,14261,55086,305,2.67258404015353,14,10.1980390271856,ellipse,0.00020527,false,55086,565,26,NA,NA,NA,L2
1028,1580083,0.0021375,positive regulation of T cell proliferation,14261,42102,42,2.67008502703118,14,5.65685424949238,ellipse,0.00020702,false,42102,565,8,NA,NA,NA,NA
92,1577880,0.0021424,negative regulation of intracellular protein kinase cascade,14261,10741,53,2.66909551929557,14,6,ellipse,0.00021035,false,10741,565,9,NA,NA,NA,L2
513,1578605,0.0021424,regulation of protein kinase B signaling cascade,14261,51896,32,2.66909551929557,14,5.29150262212918,ellipse,0.00020934,false,51896,565,7,NA,NA,NA,L2
596,1578775,0.0021424,positive regulation of cytokine production,14261,1819,103,2.66909551929557,14,7.21110255092798,ellipse,0.00021001,false,1819,565,13,NA,NA,NA,L2
687,1578970,0.0021424,membrane fusion,14261,61025,53,2.66909551929557,14,6,ellipse,0.00021035,false,61025,565,9,NA,NA,NA,NA
766,1579149,0.0021424,glucose catabolic process,14261,6007,53,2.66909551929557,14,6,ellipse,0.00021035,false,6007,565,9,NA,NA,NA,NA
429,1578442,0.0021684,positive regulation of tyrosine phosphorylation of STAT protein,14261,42531,23,2.66386515989286,14,4.89897948556636,ellipse,0.00021348,false,42531,565,6,NA,NA,NA,NA
58,1577826,0.0021759,response to protein stimulus,14261,51789,117,2.66236873841598,14,7.48331477354788,ellipse,0.0002148,false,51789,565,14,NA,NA,L1,L2
144,1577960,0.002222,cellular homeostasis,14261,19725,466,2.65326091787065,14,11.8321595661992,ellipse,0.00021994,false,19725,565,35,NA,NA,L1,L2
737,1579086,0.0023581,protein amino acid phosphorylation,14261,6468,656,2.62743600499288,14,13.4164078649987,ellipse,0.00023405,false,6468,565,45,NA,NA,NA,NA
546,1578665,0.0024003,regulation of platelet-derived growth factor receptor signaling pathway,14261,10640,4,2.61972668489731,14,3.46410161513775,ellipse,0.00024016,false,10640,565,3,NA,NA,NA,L2
840,1579378,0.0024003,deoxyribonucleoside diphosphate metabolic process,14261,9186,4,2.61972668489731,14,3.46410161513775,ellipse,0.00024016,false,9186,565,3,NA,NA,NA,NA
1102,1580689,0.0024003,response to methylmercury,14261,51597,4,2.61972668489731,14,3.46410161513775,ellipse,0.00024016,false,51597,565,3,NA,NA,L1,L2
555,1578689,0.0024356,positive regulation of cell cycle process,14261,90068,43,2.61339318821767,14,5.65685424949238,ellipse,0.00024564,false,90068,565,8,NA,NA,L1,L2
919,1579624,0.0024356,positive regulation of intracellular protein transport,14261,90316,43,2.61339318821767,14,5.65685424949238,ellipse,0.00024564,false,90316,565,8,NA,NA,NA,NA
972,1579806,0.0024356,pigment biosynthetic process,14261,46148,43,2.61339318821767,14,5.65685424949238,ellipse,0.00024564,false,46148,565,8,NA,NA,NA,L2
589,1578759,0.002476,regulation of homeostatic process,14261,32844,133,2.60625797789745,14,7.74596669241483,ellipse,0.00025037,false,32844,565,15,NA,NA,L1,L2
659,1578909,0.0024964,small GTPase mediated signal transduction,14261,7264,292,2.60268555645594,14,10,ellipse,0.0002531,false,7264,565,25,NA,NA,NA,NA
775,1579175,0.0024993,cellular protein localization,14261,34613,433,2.60218663905784,14,11.4891252930761,ellipse,0.00025406,false,34613,565,33,NA,NA,NA,NA
592,1578767,0.0025703,positive regulation of DNA recombination,14261,45911,9,2.59000921980613,14,4,ellipse,0.00026197,false,45911,565,4,NA,NA,NA,NA
664,1578917,0.0026257,regulation of intracellular protein transport,14261,33157,79,2.58074959480036,14,6.6332495807108,ellipse,0.00026832,false,33157,565,11,NA,NA,NA,NA
1098,1580633,0.0026384,response to nutrient levels,14261,31667,243,2.57866535502533,14,9.38083151964686,ellipse,0.00027031,false,31667,565,22,NA,NA,NA,L2
227,1578093,0.0026721,negative regulation of blood coagulation,14261,30195,24,2.57315527091554,14,4.89897948556636,ellipse,0.00027519,false,30195,565,6,NA,NA,NA,NA
296,1578205,0.0026721,pteridine and derivative metabolic process,14261,42558,24,2.57315527091554,14,4.89897948556636,ellipse,0.00027519,false,42558,565,6,NA,NA,NA,L2
706,1579009,0.0027245,positive regulation of NF-kappaB transcription factor activity,14261,51092,55,2.56471989365853,14,6,ellipse,0.00028131,false,51092,565,9,NA,NA,NA,NA
810,1579272,0.002752,cellular nitrogen compound catabolic process,14261,44270,67,2.56034471398703,14,6.32455532033676,ellipse,0.0002849,false,44270,565,10,NA,NA,NA,L2
932,1579667,0.0028053,neuron apoptosis,14261,51402,16,2.5520262596321,14,4.47213595499958,ellipse,0.00029115,false,51402,565,5,NA,NA,NA,NA
20,1577768,0.002885,cellular amino acid and derivative metabolic process,14261,6519,365,2.53985609846771,14,10.770329614269,ellipse,0.0003002,false,6519,565,29,NA,NA,L1,L2
621,1578833,0.003102,regulation of lymphocyte differentiation,14261,45619,56,2.50835942266579,14,6,ellipse,0.00032361,false,45619,565,9,NA,NA,NA,L2
237,1578109,0.0032959,response to abiotic stimulus,14261,9628,404,2.48203173260339,14,11.13552872566,ellipse,0.00034531,false,9628,565,31,NA,NA,L1,L2
506,1578590,0.0032959,nucleotide metabolic process,14261,9117,281,2.48203173260339,14,9.79795897113271,ellipse,0.00034647,false,9117,565,24,NA,NA,NA,NA
1008,1579974,0.0032959,nucleoside phosphate metabolic process,14261,6753,281,2.48203173260339,14,9.79795897113271,ellipse,0.00034647,false,6753,565,24,NA,NA,NA,NA
266,1578158,0.0033175,nitrogen compound metabolic process,14261,6807,2195,2.47919222762148,14,21.6333076527839,ellipse,0.00034963,false,6807,565,117,NA,NA,L1,L2
787,1579207,0.0034337,response to insulin stimulus,14261,32868,123,2.46423238441455,14,7.48331477354788,ellipse,0.0003628,false,32868,565,14,NA,NA,NA,NA
551,1578678,0.0034882,cellular macromolecule metabolic process,14261,44260,3506,2.45739900075693,14,26.3818119165458,ellipse,0.00036948,false,44260,565,174,NA,NA,L1,L2
648,1578889,0.0035277,regulation of cell cycle process,14261,10564,138,2.45250806368945,14,7.74596669241483,ellipse,0.00037461,false,10564,565,15,NA,NA,NA,L2
479,1578540,0.0036077,macromolecule modification,14261,43412,1605,2.44276877454252,14,18.9736659610103,ellipse,0.00038406,false,43412,565,90,NA,NA,NA,L2
861,1579447,0.0036799,hemopoiesis,14261,30097,233,2.43416692473336,14,9.16515138991168,ellipse,0.00039273,false,30097,565,21,NA,NA,NA,NA
311,1578233,0.0037026,positive regulation of intracellular transport,14261,32388,46,2.43149253887192,14,5.65685424949238,ellipse,0.00039821,false,32388,565,8,NA,NA,NA,L2
331,1578268,0.0037026,small molecule biosynthetic process,14261,44283,444,2.43149253887192,14,11.4891252930761,ellipse,0.00039893,false,44283,565,33,NA,NA,NA,L2
975,1579816,0.0037026,response to vitamin D,14261,33280,17,2.43149253887192,14,4.47213595499958,ellipse,0.00039911,false,33280,565,5,NA,NA,NA,NA
1063,1580312,0.0037026,fructose metabolic process,14261,6000,17,2.43149253887192,14,4.47213595499958,ellipse,0.00039911,false,6000,565,5,NA,NA,NA,NA
468,1578522,0.0037384,proteasomal ubiquitin-dependent protein catabolic process,14261,43161,139,2.42730974413472,14,7.74596669241483,ellipse,0.00040496,false,43161,565,15,NA,NA,NA,NA
1053,1580264,0.0037384,proteasomal protein catabolic process,14261,10498,139,2.42730974413472,14,7.74596669241483,ellipse,0.00040496,false,10498,565,15,NA,NA,NA,NA
804,1579260,0.0037737,positive regulation of cell cycle,14261,45787,70,2.42322895275379,14,6.32455532033676,ellipse,0.00040979,false,45787,565,10,NA,NA,L1,L2
320,1578249,0.0040223,salivary gland morphogenesis,14261,7435,26,2.39552380121015,14,4.89897948556636,ellipse,0.00044001,false,7435,565,6,NA,NA,NA,NA
516,1578610,0.0040223,negative regulation of coagulation,14261,50819,26,2.39552380121015,14,4.89897948556636,ellipse,0.00044001,false,50819,565,6,NA,NA,NA,L2
826,1579331,0.0040223,epidermal growth factor receptor signaling pathway,14261,7173,26,2.39552380121015,14,4.89897948556636,ellipse,0.00044001,false,7173,565,6,NA,NA,NA,NA
867,1579459,0.0041269,organ regeneration,14261,31100,36,2.384378173781,14,5.29150262212918,ellipse,0.00045255,false,31100,565,7,NA,NA,NA,NA
720,1579039,0.0043848,regulation of leukocyte mediated immunity,14261,2703,59,2.35805207033201,14,6,ellipse,0.00048307,false,2703,565,9,NA,NA,NA,NA
884,1579515,0.0043848,regulation of endopeptidase activity,14261,52548,98,2.35805207033201,14,6.92820323027551,ellipse,0.00048317,false,52548,565,12,NA,NA,NA,L2
1101,1580683,0.0046082,response to virus,14261,9615,142,2.33646972290457,14,7.74596669241483,ellipse,0.00050902,false,9615,565,15,NA,NA,NA,NA
263,1578153,0.0046084,positive regulation of protein transport,14261,51222,85,2.33645321611352,14,6.6332495807108,ellipse,0.00051149,false,51222,565,11,NA,NA,NA,L2
1096,1580605,0.0046084,regulation of epithelial cell proliferation,14261,50678,85,2.33645321611352,14,6.6332495807108,ellipse,0.00051149,false,50678,565,11,NA,NA,L1,L2
236,1578107,0.0047451,cell-cell signaling,14261,7267,584,2.32375485304205,14,12.6491106406735,ellipse,0.00053345,false,7267,565,40,NA,NA,NA,L2
267,1578159,0.0047451,tetrapyrrole metabolic process,14261,33013,37,2.32375485304205,14,5.29150262212918,ellipse,0.00053933,false,33013,565,7,NA,NA,NA,L2
392,1578371,0.0047451,regulation of cellular component biogenesis,14261,44087,158,2.32375485304205,14,8,ellipse,0.00053772,false,44087,565,16,NA,NA,L1,L2
404,1578392,0.0047451,porphyrin metabolic process,14261,6778,37,2.32375485304205,14,5.29150262212918,ellipse,0.00053933,false,6778,565,7,NA,NA,NA,L2
842,1579386,0.0047451,DNA catabolic process, endonucleolytic,14261,737,18,2.32375485304205,14,4.47213595499958,ellipse,0.00053473,false,737,565,5,NA,NA,NA,NA
860,1579443,0.0047451,regulation of T cell differentiation,14261,45580,48,2.32375485304205,14,5.65685424949238,ellipse,0.00053721,false,45580,565,8,NA,NA,NA,NA
871,1579473,0.0047451,DNA fragmentation involved in apoptotic nuclear change,14261,6309,18,2.32375485304205,14,4.47213595499958,ellipse,0.00053473,false,6309,565,5,NA,NA,NA,NA
873,1579481,0.0047451,cofactor biosynthetic process,14261,51188,99,2.32375485304205,14,6.92820323027551,ellipse,0.00053047,false,51188,565,12,NA,NA,NA,L2
924,1579643,0.0047451,platelet-derived growth factor receptor signaling pathway,14261,48008,18,2.32375485304205,14,4.47213595499958,ellipse,0.00053473,false,48008,565,5,NA,NA,NA,NA
937,1579682,0.0047451,neuron death,14261,70997,18,2.32375485304205,14,4.47213595499958,ellipse,0.00053473,false,70997,565,5,NA,NA,NA,L2
212,1578069,0.0047899,deoxyribonucleotide metabolic process,14261,9262,27,2.3196729101898,14,4.89897948556636,ellipse,0.00054698,false,9262,565,6,NA,NA,NA,NA
413,1578410,0.0047899,cellular component disassembly involved in apoptosis,14261,6921,27,2.3196729101898,14,4.89897948556636,ellipse,0.00054698,false,6921,565,6,NA,NA,NA,NA
784,1579194,0.0048168,secretion by cell,14261,32940,206,2.31723835120038,14,8.71779788708135,ellipse,0.00055134,false,32940,565,19,NA,NA,L1,L2
1030,1580150,0.0048524,protein oligomerization,14261,51259,190,2.31404689740141,14,8.48528137423857,ellipse,0.0005567,false,51259,565,18,NA,NA,NA,NA
1083,1580484,0.0050671,membrane to membrane docking,14261,22614,5,2.29523890919051,14,3.46410161513775,ellipse,0.00058269,false,22614,565,3,NA,NA,NA,L2
50,1577814,0.005123,immune effector process,14261,2252,129,2.29047509859153,14,7.48331477354788,ellipse,0.00059049,false,2252,565,14,NA,NA,L1,L2
697,1578991,0.0052181,phosphorylation,14261,16310,785,2.28248768721483,14,14.142135623731,ellipse,0.00060284,false,16310,565,50,NA,NA,NA,NA
628,1578848,0.0053022,regulation of secretion,14261,51046,241,2.27554538553171,14,9.16515138991168,ellipse,0.00061397,false,51046,565,21,NA,NA,NA,NA
674,1578939,0.0053873,regulation of angiogenesis,14261,45765,87,2.26862677982833,14,6.6332495807108,ellipse,0.00062526,false,45765,565,11,NA,NA,NA,L2
136,1577947,0.0054596,dephosphorylation,14261,16311,145,2.26284091259047,14,7.74596669241483,ellipse,0.00063511,false,16311,565,15,NA,NA,NA,NA
747,1579105,0.0054792,positive regulation of endocytosis,14261,45807,38,2.26128469299842,14,5.29150262212918,ellipse,0.00063885,false,45807,565,7,NA,NA,L1,L2
754,1579122,0.0054849,cellular extravasation,14261,45123,11,2.26083259969023,14,4,ellipse,0.0006439,false,45123,565,4,NA,NA,NA,L2
760,1579135,0.0054849,regulation of mitochondrial membrane potential,14261,51881,11,2.26083259969023,14,4,ellipse,0.0006439,false,51881,565,4,NA,NA,NA,NA
885,1579519,0.0054849,regulation of platelet activation,14261,10543,11,2.26083259969023,14,4,ellipse,0.0006439,false,10543,565,4,NA,NA,NA,NA
269,1578163,0.00561,cellular component biogenesis,14261,44085,1034,2.25103563951544,14,15.7480157480236,ellipse,0.00066159,false,44085,565,62,NA,NA,NA,L2
330,1578266,0.00561,negative regulation of transport,14261,51051,161,2.25103563951544,14,8,ellipse,0.00066143,false,51051,565,16,NA,NA,L1,L2
300,1578212,0.0056187,negative regulation of cellular component organization,14261,51129,177,2.25036221963113,14,8.24621125123532,ellipse,0.00067223,false,51129,565,17,NA,NA,L1,L2
366,1578325,0.0056187,positive regulation of leukocyte mediated immunity,14261,2705,28,2.25036221963113,14,4.89897948556636,ellipse,0.00067311,false,2705,565,6,NA,NA,NA,NA
645,1578882,0.0056187,positive regulation of T cell differentiation,14261,45582,28,2.25036221963113,14,4.89897948556636,ellipse,0.00067311,false,45582,565,6,NA,NA,NA,NA
713,1579021,0.0056187,positive regulation of lymphocyte mediated immunity,14261,2708,28,2.25036221963113,14,4.89897948556636,ellipse,0.00067311,false,2708,565,6,NA,NA,NA,NA
791,1579214,0.0056187,response to cold,14261,9409,28,2.25036221963113,14,4.89897948556636,ellipse,0.00067311,false,9409,565,6,NA,NA,L1,L2
808,1579269,0.0056187,regulation of cell-cell adhesion,14261,22407,28,2.25036221963113,14,4.89897948556636,ellipse,0.00067311,false,22407,565,6,NA,NA,NA,NA
969,1579790,0.0056187,salivary gland development,14261,7431,28,2.25036221963113,14,4.89897948556636,ellipse,0.00067311,false,7431,565,6,NA,NA,NA,NA
199,1578048,0.0056586,generation of precursor metabolites and energy,14261,6091,312,2.2472921877631,14,10,ellipse,0.00067939,false,6091,565,25,NA,NA,L1,L2
17,1577764,0.005823,myeloid leukocyte mediated immunity,14261,2444,19,2.23485579487525,14,4.47213595499958,ellipse,0.00070224,false,2444,565,5,NA,NA,NA,NA
792,1579218,0.005823,negative regulation of cell activation,14261,50866,62,2.23485579487525,14,6,ellipse,0.00070201,false,50866,565,9,NA,NA,L1,L2
319,1578247,0.0062666,negative regulation of signaling pathway,14261,35467,262,2.20297073861939,14,9.38083151964686,ellipse,0.0007574,false,35467,565,22,NA,NA,NA,L2
846,1579394,0.0062784,regulation of peptidase activity,14261,52547,103,2.20215393331362,14,6.92820323027551,ellipse,0.00076051,false,52547,565,12,NA,NA,NA,NA
1036,1580187,0.0063971,cell cycle,14261,7049,794,2.19401554413871,14,14.142135623731,ellipse,0.0007766,false,7049,565,50,NA,NA,L1,L2
265,1578156,0.0064857,hexose catabolic process,14261,19320,63,2.18804217353214,14,6,ellipse,0.00079081,false,19320,565,9,NA,NA,NA,NA
654,1578899,0.0064857,tissue homeostasis,14261,1894,63,2.18804217353214,14,6,ellipse,0.00079081,false,1894,565,9,NA,NA,NA,NA
635,1578863,0.0065474,regulation of lipid metabolic process,14261,19216,133,2.18392914692806,14,7.48331477354788,ellipse,0.00080183,false,19216,565,14,NA,NA,NA,L2
918,1579611,0.0065474,macromolecular complex assembly,14261,65003,675,2.18392914692806,14,13.2664991614216,ellipse,0.00080157,false,65003,565,44,NA,NA,NA,NA
765,1579147,0.0066863,mitochondrial membrane organization,14261,7006,29,2.17481397557507,14,4.89897948556636,ellipse,0.00082062,false,7006,565,6,NA,NA,NA,L2
819,1579300,0.0068455,cellular amino acid metabolic process,14261,6520,230,2.16459178879478,14,8.94427190999916,ellipse,0.000842,false,6520,565,20,NA,NA,NA,L2
853,1579422,0.0068457,regulation of cell morphogenesis,14261,22604,149,2.16457957949258,14,7.74596669241483,ellipse,0.00084385,false,22604,565,15,NA,NA,NA,L2
149,1577968,0.0072074,macromolecule catabolic process,14261,9057,503,2.1422188461421,14,11.8321595661992,ellipse,0.00089035,false,9057,565,35,NA,NA,NA,L2
602,1578786,0.0073122,regulation of cellular component size,14261,32535,283,2.13595130777693,14,9.59166304662544,ellipse,0.0009072,false,32535,565,23,NA,NA,NA,NA
1050,1580246,0.0073122,regulation of survival gene product expression,14261,45884,20,2.13595130777693,14,4.47213595499958,ellipse,0.00090607,false,45884,565,5,NA,NA,NA,L2
89,1577875,0.0075099,leukocyte degranulation,14261,43299,12,2.12436565799951,14,4,ellipse,0.00093573,false,43299,565,4,NA,NA,NA,L2
1031,1580152,0.0075099,substrate-bound cell migration,14261,6929,12,2.12436565799951,14,4,ellipse,0.00093573,false,6929,565,4,NA,NA,NA,NA
971,1579802,0.0078899,regulation of cell development,14261,60284,250,2.10292965728709,14,9.16515138991168,ellipse,0.00098518,false,60284,565,21,NA,NA,NA,L2
814,1579280,0.0079265,regulation of tyrosine phosphorylation of STAT protein,14261,42509,30,2.1009176567458,14,4.89897948556636,ellipse,0.00099187,false,42509,565,6,NA,NA,NA,L2
252,1578134,0.007953,regulation of transcription regulator activity,14261,90046,136,2.0994675148888,14,7.48331477354788,ellipse,0.00099943,false,90046,565,14,NA,NA,L1,L2
253,1578135,0.007953,regulation of transcription factor activity,14261,51090,136,2.0994675148888,14,7.48331477354788,ellipse,0.00099943,false,51090,565,14,NA,NA,NA,L2
794,1579224,0.0079775,regulation of caspase activity,14261,43281,92,2.09813359681699,14,6.6332495807108,ellipse,0.0010046,false,43281,565,11,NA,NA,L1,L2
604,1578790,0.0079829,negative regulation of signal transduction,14261,9968,121,2.09784000711181,14,7.21110255092798,ellipse,0.0010074,false,9968,565,13,NA,NA,L1,L2
907,1579579,0.0080362,macromolecular complex subunit organization,14261,43933,723,2.09495188132379,14,13.5646599662505,ellipse,0.0010163,false,43933,565,46,NA,NA,NA,L2
475,1578534,0.0080867,positive regulation of inflammatory response,14261,50729,41,2.09222684138905,14,5.29150262212918,ellipse,0.001027,false,50729,565,7,NA,NA,NA,NA
1045,1580226,0.0080867,regulation of ERK1 and ERK2 cascade,14261,70372,41,2.09222684138905,14,5.29150262212918,ellipse,0.001027,false,70372,565,7,NA,NA,NA,NA
951,1579743,0.0083363,phagocytosis,14261,6909,53,2.07902583094772,14,5.65685424949238,ellipse,0.0010609,false,6909,565,8,NA,NA,NA,NA
465,1578516,0.0087307,response to unfolded protein,14261,6986,66,2.05895175054419,14,6,ellipse,0.0011135,false,6986,565,9,NA,NA,L1,L2
500,1578578,0.0087951,myeloid cell homeostasis,14261,2262,6,2.05575859524229,14,3.46410161513775,ellipse,0.0011311,false,2262,565,3,NA,NA,NA,L2
755,1579123,0.0087951,leukocyte tethering or rolling,14261,50901,6,2.05575859524229,14,3.46410161513775,ellipse,0.0011311,false,50901,565,3,NA,NA,NA,NA
797,1579230,0.0087951,glyoxylate metabolic process,14261,46487,6,2.05575859524229,14,3.46410161513775,ellipse,0.0011311,false,46487,565,3,NA,NA,NA,L2
999,1579912,0.0087951,tetrahydrobiopterin biosynthetic process,14261,6729,6,2.05575859524229,14,3.46410161513775,ellipse,0.0011311,false,6729,565,3,NA,NA,NA,NA
497,1578573,0.0088753,regulation of defense response to virus,14261,50688,21,2.05181780942243,14,4.47213595499958,ellipse,0.0011509,false,50688,565,5,NA,NA,NA,L2
725,1579049,0.0088753,regulation of receptor activity,14261,10469,21,2.05181780942243,14,4.47213595499958,ellipse,0.0011509,false,10469,565,5,NA,NA,L1,L2
756,1579126,0.0088753,heme biosynthetic process,14261,6783,21,2.05181780942243,14,4.47213595499958,ellipse,0.0011509,false,6783,565,5,NA,NA,NA,NA
1074,1580444,0.0088753,regulation of receptor-mediated endocytosis,14261,48259,21,2.05181780942243,14,4.47213595499958,ellipse,0.0011509,false,48259,565,5,NA,NA,NA,NA
947,1579733,0.0090316,negative regulation of signaling process,14261,23057,123,2.04423491911405,14,7.21110255092798,ellipse,0.0011735,false,23057,565,13,NA,NA,L1,L2
1073,1580442,0.0091342,membrane docking,14261,22406,31,2.03932980637743,14,4.89897948556636,ellipse,0.0011893,false,22406,565,6,NA,NA,L1,L2
107,1577902,0.0092059,regulation of protein complex assembly,14261,43254,94,2.03593346093089,14,6.6332495807108,ellipse,0.0012019,false,43254,565,11,NA,NA,NA,L2
786,1579205,0.0092059,proteolysis,14261,6508,729,2.03593346093089,14,13.5646599662505,ellipse,0.0012035,false,6508,565,46,NA,NA,NA,NA
543,1578660,0.0093529,cellular carbohydrate metabolic process,14261,44262,380,2.02905270297034,14,10.5830052442584,ellipse,0.0012253,false,44262,565,28,NA,NA,L1,L2
611,1578805,0.0094617,cellular carbohydrate biosynthetic process,14261,34637,67,2.0240313635376,14,6,ellipse,0.001242,false,34637,565,9,NA,NA,NA,L2
280,1578180,0.0099335,regulation of vascular permeability,14261,43114,13,2.00289708504804,14,4,ellipse,0.0013095,false,43114,565,4,NA,NA,NA,L2
417,1578418,0.0099335,myeloid cell differentiation,14261,30099,95,2.00289708504804,14,6.6332495807108,ellipse,0.0013119,false,30099,565,11,NA,NA,NA,NA
851,1579411,0.0099335,pteridine and derivative biosynthetic process,14261,42559,13,2.00289708504804,14,4,ellipse,0.0013095,false,42559,565,4,NA,NA,NA,NA
464,1578514,0.010017,cellular amine metabolic process,14261,44106,309,1.99928174505017,14,9.79795897113271,ellipse,0.0013256,false,44106,565,24,NA,NA,NA,L2
222,1578085,0.010347,transport,14261,6810,2573,1.98517497704918,14,22.8035085019828,ellipse,0.0013724,false,6810,565,130,NA,NA,NA,L2
