"","ID","EQUATION","GENE.ASSOCIATION","SUBSYSTEM"
"6054","MAR06027","AKG[c] + butyrate[e] <=> AKG[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6055","MAR06028","AKG[c] + retinoate[e] <=> AKG[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6056","MAR06029","(R)-3-hydroxybutanoate[c] + AKG[e] <=> (R)-3-hydroxybutanoate[e] + AKG[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6057","MAR06030","2-hydroxybutyrate[c] + AKG[e] <=> 2-hydroxybutyrate[e] + AKG[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6058","MAR06031","acetate[c] + formate[e] <=> acetate[e] + formate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6059","MAR06032","acetate[c] + propanoate[e] <=> acetate[e] + propanoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6060","MAR06033","acetate[e] + L-lactate[c] <=> acetate[c] + L-lactate[e]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6061","MAR06034","acetate[c] + butyrate[e] <=> acetate[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6062","MAR06035","acetate[c] + retinoate[e] <=> acetate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6063","MAR06036","(R)-3-hydroxybutanoate[c] + acetate[e] <=> (R)-3-hydroxybutanoate[e] + acetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6064","MAR06037","formate[c] + propanoate[e] <=> formate[e] + propanoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6065","MAR06038","formate[e] + L-lactate[c] <=> formate[c] + L-lactate[e]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6066","MAR06039","butyrate[c] + formate[e] <=> butyrate[e] + formate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6067","MAR06040","formate[c] + retinoate[e] <=> formate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6068","MAR06041","(R)-3-hydroxybutanoate[c] + formate[e] <=> (R)-3-hydroxybutanoate[e] + formate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6069","MAR06042","L-lactate[c] + propanoate[e] <=> L-lactate[e] + propanoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6070","MAR06043","butyrate[c] + propanoate[e] <=> butyrate[e] + propanoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6071","MAR06044","propanoate[c] + retinoate[e] <=> propanoate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6072","MAR06045","(R)-3-hydroxybutanoate[c] + propanoate[e] <=> (R)-3-hydroxybutanoate[e] + propanoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6073","MAR06046","acetoacetate[c] + butyrate[e] <=> acetoacetate[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6074","MAR06047","(R)-3-hydroxybutanoate[c] + acetoacetate[e] <=> (R)-3-hydroxybutanoate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6075","MAR06048","butyrate[e] + L-lactate[c] <=> butyrate[c] + L-lactate[e]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6076","MAR06049","L-lactate[c] + retinoate[e] <=> L-lactate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6077","MAR06050","(R)-3-hydroxybutanoate[c] + L-lactate[e] <=> (R)-3-hydroxybutanoate[e] + L-lactate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6078","MAR06051","butyrate[c] + retinoate[e] <=> butyrate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6079","MAR06052","(R)-3-hydroxybutanoate[c] + butyrate[e] <=> (R)-3-hydroxybutanoate[e] + butyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6080","MAR06053","(R)-3-hydroxybutanoate[c] + retinoate[e] <=> (R)-3-hydroxybutanoate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6081","MAR06054","(R)-3-hydroxybutanoate[c] + 2-hydroxybutyrate[e] <=> (R)-3-hydroxybutanoate[e] + 2-hydroxybutyrate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions"
"6082","MAR06055","thyroxine[c] <=> thyroxine[e]","ENSG00000101187 or ENSG00000134538 or ENSG00000139155 or ENSG00000147100 or ENSG00000176463","Transport reactions"
"6083","MAR06056","triiodothyronine[c] <=> triiodothyronine[e]","ENSG00000147100","Transport reactions"
"6084","MAR06057","Na+[e] + Pi[e] => Na+[c] + Pi[c]","ENSG00000124568","Transport reactions"
"6085","MAR06058","chloride[e] => chloride[c]","ENSG00000147606 or ENSG00000174502","Transport reactions"
"6086","MAR06059","H+[e] + thiamin[e] => H+[c] + thiamin[c]","ENSG00000117479 or ENSG00000135917","Transport reactions"
"6087","MAR06060","GSH[c] + HCO3-[c] + lithocholate[e] <=> GSH[e] + HCO3-[e] + lithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6088","MAR06061","GSH[c] + HCO3-[c] + taurolithocholate[e] <=> GSH[e] + HCO3-[e] + taurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6089","MAR06062","glycolithocholate[e] + GSH[c] + HCO3-[c] <=> glycolithocholate[c] + GSH[e] + HCO3-[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6090","MAR06063","GSH[c] + HCO3-[c] + ursodeoxycholate[e] <=> GSH[e] + HCO3-[e] + ursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6091","MAR06064","GSH[c] + HCO3-[c] + tauroursodeoxycholate[e] <=> GSH[e] + HCO3-[e] + tauroursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6092","MAR06065","glycoursodeoxycholate[e] + GSH[c] + HCO3-[c] <=> glycoursodeoxycholate[c] + GSH[e] + HCO3-[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6093","MAR06066","GSH[c] + HCO3-[c] + sulfoglycolithocholate[e] <=> GSH[e] + HCO3-[e] + sulfoglycolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6094","MAR06067","GSH[c] + HCO3-[c] + sulfotaurolithocholate[e] <=> GSH[e] + HCO3-[e] + sulfotaurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6095","MAR06068","glutathionyl-leukotriene C4[c] + HCO3-[c] + lithocholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + lithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6096","MAR06069","HCO3-[c] + lithocholate[e] + S-glutathionyl-2-4-dinitrobenzene[c] <=> HCO3-[e] + lithocholate[c] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6097","MAR06070","HCO3-[c] + lithocholate[e] + S-glutathionyl-ethacrynic acid[c] <=> HCO3-[e] + lithocholate[c] + S-glutathionyl-ethacrynic acid[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6098","MAR06071","glutathionyl-leukotriene C4[c] + HCO3-[c] + taurolithocholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + taurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6099","MAR06072","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + taurolithocholate[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + taurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6100","MAR06073","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + taurolithocholate[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + taurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6101","MAR06074","glutathionyl-leukotriene C4[c] + glycolithocholate[e] + HCO3-[c] <=> glutathionyl-leukotriene C4[e] + glycolithocholate[c] + HCO3-[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6102","MAR06075","glycolithocholate[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> glycolithocholate[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6103","MAR06076","glycolithocholate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> glycolithocholate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6104","MAR06077","glutathionyl-leukotriene C4[c] + HCO3-[c] + ursodeoxycholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + ursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6105","MAR06078","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + ursodeoxycholate[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + ursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6106","MAR06079","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + ursodeoxycholate[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + ursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6107","MAR06080","glutathionyl-leukotriene C4[c] + HCO3-[c] + tauroursodeoxycholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + tauroursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6108","MAR06081","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + tauroursodeoxycholate[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + tauroursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6109","MAR06082","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + tauroursodeoxycholate[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + tauroursodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6110","MAR06083","glutathionyl-leukotriene C4[c] + glycoursodeoxycholate[e] + HCO3-[c] <=> glutathionyl-leukotriene C4[e] + glycoursodeoxycholate[c] + HCO3-[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6111","MAR06084","glycoursodeoxycholate[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> glycoursodeoxycholate[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6112","MAR06085","glycoursodeoxycholate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> glycoursodeoxycholate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6113","MAR06086","glutathionyl-leukotriene C4[c] + HCO3-[c] + sulfoglycolithocholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + sulfoglycolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6114","MAR06087","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + sulfoglycolithocholate[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + sulfoglycolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6115","MAR06088","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + sulfoglycolithocholate[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + sulfoglycolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6116","MAR06089","glutathionyl-leukotriene C4[c] + HCO3-[c] + sulfotaurolithocholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + sulfotaurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6117","MAR06090","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + sulfotaurolithocholate[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + sulfotaurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6118","MAR06091","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + sulfotaurolithocholate[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + sulfotaurolithocholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6119","MAR06092","glutathionyl-leukotriene C4[c] + HCO3-[c] + sulfochenodeoxycholate[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + sulfochenodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6120","MAR06093","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + sulfochenodeoxycholate[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + sulfochenodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6121","MAR06094","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + sulfochenodeoxycholate[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + sulfochenodeoxycholate[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6122","MAR06095","bilirubin[e] + GSH[c] + HCO3-[c] <=> bilirubin[c] + GSH[e] + HCO3-[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6123","MAR06096","HCO3-[c] + thyroxine[e] => HCO3-[e] + thyroxine[c]","ENSG00000084453 or ENSG00000101187 or ENSG00000134538 or ENSG00000139155","Transport reactions"
"6124","MAR06097","GSH[c] + HCO3-[c] + thyroxine[e] <=> GSH[e] + HCO3-[e] + thyroxine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6125","MAR06098","HCO3-[c] + triiodothyronine[e] => HCO3-[e] + triiodothyronine[c]","ENSG00000084453 or ENSG00000101187 or ENSG00000111700 or ENSG00000134538 or ENSG00000139155","Transport reactions"
"6126","MAR06099","GSH[c] + HCO3-[c] + triiodothyronine[e] <=> GSH[e] + HCO3-[e] + triiodothyronine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6127","MAR06100","GSH[c] + HCO3-[c] + reverse triiodthyronine[e] <=> GSH[e] + HCO3-[e] + reverse triiodthyronine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6128","MAR06101","HCO3-[c] + prostaglandin E2[e] => HCO3-[e] + prostaglandin E2[c]","ENSG00000084453 or ENSG00000101187 or ENSG00000174640 or ENSG00000176463","Transport reactions"
"6129","MAR06102","GSH[c] + HCO3-[c] + prostaglandin E2[e] <=> GSH[e] + HCO3-[e] + prostaglandin E2[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6130","MAR06103","GSH[c] + HCO3-[c] + leukotriene C4[e] <=> GSH[e] + HCO3-[e] + leukotriene C4[c]","ENSG00000134538","Transport reactions"
"6131","MAR06104","bilirubin-bisglucuronoside[e] + GSH[c] + HCO3-[c] <=> bilirubin-bisglucuronoside[c] + GSH[e] + HCO3-[e]","ENSG00000134538","Transport reactions"
"6132","MAR06105","GSH[c] + HCO3-[c] + thromboxane B2[e] <=> GSH[e] + HCO3-[e] + thromboxane B2[c]","ENSG00000134538","Transport reactions"
"6133","MAR06106","GSH[c] + HCO3-[c] + leukotriene E4[e] <=> GSH[e] + HCO3-[e] + leukotriene E4[c]","ENSG00000134538","Transport reactions"
"6134","MAR06107","bilirubin-monoglucuronoside[e] + GSH[c] + HCO3-[c] <=> bilirubin-monoglucuronoside[c] + GSH[e] + HCO3-[e]","ENSG00000134538","Transport reactions"
"6135","MAR06108","bilirubin[e] + glutathionyl-leukotriene C4[c] + HCO3-[c] <=> bilirubin[c] + glutathionyl-leukotriene C4[e] + HCO3-[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6136","MAR06109","bilirubin[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> bilirubin[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6137","MAR06110","bilirubin[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> bilirubin[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6138","MAR06111","glutathionyl-leukotriene C4[c] + HCO3-[c] + thyroxine[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + thyroxine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6139","MAR06112","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + thyroxine[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + thyroxine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6140","MAR06113","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + thyroxine[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + thyroxine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6141","MAR06114","glutathionyl-leukotriene C4[c] + HCO3-[c] + triiodothyronine[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + triiodothyronine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6142","MAR06115","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + triiodothyronine[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + triiodothyronine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6143","MAR06116","HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + triiodothyronine[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + triiodothyronine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6144","MAR06117","glutathionyl-leukotriene C4[c] + HCO3-[c] + reverse triiodthyronine[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + reverse triiodthyronine[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6145","MAR06118","HCO3-[c] + reverse triiodthyronine[e] + S-glutathionyl-2-4-dinitrobenzene[c] <=> HCO3-[e] + reverse triiodthyronine[c] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6146","MAR06119","HCO3-[c] + reverse triiodthyronine[e] + S-glutathionyl-ethacrynic acid[c] <=> HCO3-[e] + reverse triiodthyronine[c] + S-glutathionyl-ethacrynic acid[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6147","MAR06120","glutathionyl-leukotriene C4[c] + HCO3-[c] + prostaglandin E2[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + prostaglandin E2[c]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6148","MAR06121","HCO3-[c] + prostaglandin E2[e] + S-glutathionyl-2-4-dinitrobenzene[c] <=> HCO3-[e] + prostaglandin E2[c] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6149","MAR06122","HCO3-[c] + prostaglandin E2[e] + S-glutathionyl-ethacrynic acid[c] <=> HCO3-[e] + prostaglandin E2[c] + S-glutathionyl-ethacrynic acid[e]","ENSG00000084453 and ENSG00000111700","Transport reactions"
"6150","MAR06123","arachidonate[e] + glutathionyl-leukotriene C4[c] + HCO3-[c] <=> arachidonate[c] + glutathionyl-leukotriene C4[e] + HCO3-[e]","ENSG00000134538","Transport reactions"
"6151","MAR06124","arachidonate[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> arachidonate[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000134538","Transport reactions"
"6152","MAR06125","arachidonate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> arachidonate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions"
"6153","MAR06126","glutathionyl-leukotriene C4[c] + HCO3-[c] + leukotriene C4[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + leukotriene C4[c]","ENSG00000134538","Transport reactions"
"6154","MAR06127","HCO3-[c] + leukotriene C4[e] + S-glutathionyl-2-4-dinitrobenzene[c] <=> HCO3-[e] + leukotriene C4[c] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000134538","Transport reactions"
"6155","MAR06128","HCO3-[c] + leukotriene C4[e] + S-glutathionyl-ethacrynic acid[c] <=> HCO3-[e] + leukotriene C4[c] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions"
"6156","MAR06129","estrone 3-sulfate[e] + HCO3-[c] => estrone 3-sulfate[c] + HCO3-[e]","ENSG00000084453 or ENSG00000101187 or ENSG00000111700 or ENSG00000134538 or ENSG00000137491 or ENSG00000139155 or ENSG00000176463","Transport reactions"
"6157","MAR06130","estrone 3-sulfate[e] + glutathionyl-leukotriene C4[c] + HCO3-[c] <=> estrone 3-sulfate[c] + glutathionyl-leukotriene C4[e] + HCO3-[e]","ENSG00000134538","Transport reactions"
"6158","MAR06131","estrone 3-sulfate[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> estrone 3-sulfate[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000134538","Transport reactions"
"6159","MAR06132","estrone 3-sulfate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> estrone 3-sulfate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions"
"6160","MAR06133","dehydroepiandrosterone sulfate[e] + glutathionyl-leukotriene C4[c] + HCO3-[c] <=> dehydroepiandrosterone sulfate[c] + glutathionyl-leukotriene C4[e] + HCO3-[e]","ENSG00000134538","Transport reactions"
"6161","MAR06134","dehydroepiandrosterone sulfate[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> dehydroepiandrosterone sulfate[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000134538","Transport reactions"
"6162","MAR06135","dehydroepiandrosterone sulfate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> dehydroepiandrosterone sulfate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions"
"6163","MAR06136","bilirubin-bisglucuronoside[e] + glutathionyl-leukotriene C4[c] + HCO3-[c] <=> bilirubin-bisglucuronoside[c] + glutathionyl-leukotriene C4[e] + HCO3-[e]","ENSG00000134538","Transport reactions"
"6164","MAR06137","bilirubin-bisglucuronoside[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] <=> bilirubin-bisglucuronoside[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000134538","Transport reactions"
"6165","MAR06138","bilirubin-bisglucuronoside[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> bilirubin-bisglucuronoside[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions"
"6166","MAR06139","glutathionyl-leukotriene C4[c] + HCO3-[c] + LTD4[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + LTD4[c]","ENSG00000134538","Transport reactions"
"6167","MAR06140","HCO3-[c] + LTD4[e] + S-glutathionyl-2-4-dinitrobenzene[c] <=> HCO3-[e] + LTD4[c] + S-glutathionyl-2-4-dinitrobenzene[e]","ENSG00000134538","Transport reactions"
"6168","MAR06141","HCO3-[c] + LTD4[e] + S-glutathionyl-ethacrynic acid[c] <=> HCO3-[e] + LTD4[c] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions"
"6169","MAR06142","20-hydroxy-arachidonate[c] + glutathionyl-leukotriene C4[e] + HCO3-[e] <=> 20-hydroxy-arachidonate[e] + glutathionyl-leukotriene C4[c] + HCO3-[c]","ENSG00000134538","Transport reactions"
"6170","MAR06143","20-hydroxy-arachidonate[c] + HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] <=> 20-hydroxy-arachidonate[e] + HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c]","ENSG00000134538","Transport reactions"
"6171","MAR06144","20-hydroxy-arachidonate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e] <=> 20-hydroxy-arachidonate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c]","ENSG00000134538","Transport reactions"
"6172","MAR06145","glutathionyl-leukotriene C4[c] + HCO3-[c] + thromboxane B2[e] <=> glutathionyl-leukotriene C4[e] + HCO3-[e] + thromboxane B2[c]","ENSG00000134538","Transport reactions"
"6173","MAR06146","HCO3-[c] + S-glutathionyl-2-4-dinitrobenzene[c] + thromboxane B2[e] <=> HCO3-[e] + S-glutathionyl-2-4-dinitrobenzene[e] + thromboxane B2[c]","ENSG00000134538","Transport reactions"
