"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"460","MAR04044",309,"ADP[c] + dATP[c] <=> ATP[c] + dADP[c]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",1000
"482","MAR04210",343,"H+[c] + PEP[c] + UDP[c] => pyruvate[c] + UTP[c]","ENSG00000067225 or ENSG00000143627","Pyrimidine metabolism",329.298446043745
"502","MAR04332",4501,"dihydrofolate[c] + H+[c] + NADH[c] <=> NAD+[c] + THF[c]","ENSG00000178700 or ENSG00000228716","Folate metabolism",990.797230827494
"507","MAR04354",193,"ribose-1-phosphate[c] <=> ribose-5-phosphate[c]","ENSG00000079739 or ENSG00000169299","Pentose phosphate pathway",1000
"525","MAR04408",1352,"fumarate[c] + H2O[c] <=> malate[c]","ENSG00000091483","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",185.447191138186
"527","MAR04410",1353,"fumarate[m] + H2O[m] <=> malate[m]","ENSG00000091483","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",815.192751884186
"532","MAR04444",4509,"5,10-methenyl-THF[m] + NADPH[m] <=> 5,10-methylene-THF[m] + NADP+[m]","ENSG00000065911 or ENSG00000100714 or ENSG00000120254","Folate metabolism",1000
"536","MAR04456",1355,"citrate[m] <=> isocitrate[m]","ENSG00000100412 or ENSG00000122729","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",605.433023797861
"542","MAR04485",352,"2-deoxy-D-ribose-1-phosphate[c] + thymine[c] <=> Pi[c] + thymidine[c]","ENSG00000025708 or ENSG00000198805","Pyrimidine metabolism",314.858153792031
"559","MAR04572",313,"ADP[m] + dGTP[m] => ATP[m] + dGDP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",332.611606784913
"570","MAR04612",267,"ADP[c] + thioredoxin[c] => dADP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",666.103990538597
"571","MAR04614",268,"GTP[c] + thioredoxin[c] => dGTP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",333.122970566351
"585","MAR04677",9332,"O-butanoylcarnitine[c] <=> O-butanoylcarnitine[m]","ENSG00000178537","Transport reactions",112.106116501761
"601","MAR04847",5334,"adenine[c] <=> adenine[e]","ENSG00000174669","Transport reactions",1000
"606","MAR04861",5338,"inositol[c] <=> inositol[e]","ENSG00000151229","Transport reactions",734.731110124766
"607","MAR04874",6810,"NH3[c] <=> NH3[m]",NA,"Transport reactions",282.702032465106
"609","MAR04882",5341,"uracil[c] <=> uracil[e]","ENSG00000174669","Transport reactions",1000
"625","MAR04967",9401,"(2E)-decenoyl-CoA[m] + CoA[m] + H2O[m] + NAD+[m] => acetyl-CoA[m] + H+[m] + NADH[m] + octanoyl-CoA[m]","ENSG00000127884 and ENSG00000138796 and ENSG00000167315","Fatty acid oxidation",165.178685027787
"626","MAR04971",6824,"citrate[m] + PEP[c] <=> citrate[c] + PEP[m]","ENSG00000100075","Transport reactions",385.577202772669
"627","MAR04972",6825,"citrate[c] + isocitrate[m] <=> citrate[m] + isocitrate[c]","ENSG00000100075","Transport reactions",1000
"629","MAR04985",5371,"guanine[c] <=> guanine[e]","ENSG00000174669","Transport reactions",662.992851593762
"632","MAR05007",5384,"folate[e] => folate[c]","ENSG00000110195 or ENSG00000110203 or ENSG00000165457","Transport reactions",1000
"635","MAR05032",5395,"adenosine[c] <=> adenosine[e]","ENSG00000112759 or ENSG00000164638 or ENSG00000174669","Transport reactions",0.011986445788466
"636","MAR05034",5396,"thymidine[c] <=> thymidine[e]","ENSG00000112759 or ENSG00000174669","Transport reactions",314.858153792031
"642","MAR05071",5406,"lysine[e] => lysine[c]","ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349","Transport reactions",37.1723039132282
"653","MAR05094",5422,"ornithine[e] => ornithine[c]","ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349","Transport reactions",762.922993346695
"656","MAR05116",6852,"phenylalanine[m] + H+[i] => H+[m] + phenylalanine[c]",NA,"Transport reactions",19.1849868744485
"771","MAR05537",5567,"asparagine[c] + phenylalanine[e] <=> asparagine[e] + phenylalanine[c]","ENSG00000103257 or ENSG00000165029","Transport reactions",1000
"840","MAR06018",6045,"L-lactate[c] + pyruvate[e] <=> L-lactate[e] + pyruvate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",671.511034734799
"867","MAR06047",6074,"(R)-3-hydroxybutanoate[c] + acetoacetate[e] <=> (R)-3-hydroxybutanoate[e] + acetoacetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",999.944144320737
"885","MAR06333",6917,"ATP[m] + dGDP[c] => ATP[c] + dGDP[m]","ENSG00000125454","Transport reactions",665.32228994057
"921","MAR06571",4440,"1D-myo-inositol-3-phosphate[c] + H2O[c] => inositol[c] + Pi[c]","ENSG00000104331 or ENSG00000133731 or ENSG00000141401","Inositol phosphate metabolism",736.208380697565
"922","MAR06572",4441,"glucose-6-phosphate[c] => 1D-myo-inositol-3-phosphate[c]","ENSG00000105655","Inositol phosphate metabolism",736.208380697565
"978","MAR06912",1386,"H2O[m] + PPi[m] => H+[m] + 2 Pi[m]","ENSG00000107902 or ENSG00000138777 or ENSG00000143363 or ENSG00000180817","Oxidative phosphorylation",335.356044934193
"1005","MAR07818",6963,"dGDP[c] + dTDP[m] <=> dGDP[m] + dTDP[c]","ENSG00000125454","Transport reactions",334.673714577501
"1011","MAR07865",429,"2 UDP[c] <=> UMP[c] + UTP[c]","ENSG00000162368","Nucleotide metabolism",664.039175359842
"1035","MAR08356",7015,"acetaldehyde[c] <=> acetaldehyde[m]",NA,"Transport reactions",747.169170635244
"1036","MAR08357",11,"acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","Glycolysis / Gluconeogenesis",747.169170635244
"1062","MAR08486",502,"adenosine[c] + Pi[c] <=> adenine[c] + ribose-1-phosphate[c]","ENSG00000198805","Nucleotide metabolism",1000
"1083","MAR08743",1371,"FADH2[m] + fumarate[m] <=> FAD[m] + succinate[m]","ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",330.364115386442
"1089","MAR09026",9786,"SAH[e] <=> ",NA,"Exchange/demand reactions",1000
"1113","MAR09069",7733,"serine[e] <=> ",NA,"Exchange/demand reactions",856.248849177779
"1131","MAR09146",7809,"folate[e] <=> ",NA,"Exchange/demand reactions",9.97580806755764
"1144","MAR09274",9798,"kynurenine[e] <=> kynurenine[c]","ENSG00000149150 or ENSG00000167703","Transport reactions",53.8868073039589
"1152","MAR09348",7981,"guanosine[e] <=> ",NA,"Exchange/demand reactions",332.607611302983
"1153","MAR09353",7986,"guanine[e] <=> ",NA,"Exchange/demand reactions",662.992851593762
"1156","MAR09361",7994,"inositol[e] <=> ",NA,"Exchange/demand reactions",734.731110124766
"1163","MAR09423",8054,"thymidine[e] <=> ",NA,"Exchange/demand reactions",314.858153792031
"1164","MAR09437",8068,"uracil[e] <=> ",NA,"Exchange/demand reactions",1000
"1173","MAR09813",7696,"octanoic acid[e] <=> ",NA,"Exchange/demand reactions",415.178685027787
"1196","MAR11304",11181,"L-carnitine[m] + palmitolate[c] <=> L-carnitine[c] + palmitolate[m]",NA,"Transport reactions",334.223902932353
"1202","MAR11438",11315,"phenylpyruvate[e] <=> ",NA,"Exchange/demand reactions",980.339058578894
"1205","MAR11777",11654,"histamine[e] + SAM[e] => H+[e] + SAH[e] + N-methylhistamine[e]","ENSG00000150540","Transport reactions",1000
"1210","MAR11808",11685,"Na+[e] + hexadecenoylcarnitine(9)[e] => hexadecenoylcarnitine(9)[c] + Na+[c]","ENSG00000105281 or ENSG00000197375","Transport reactions",1000
"1211","MAR11930",11807,"N-methylhistamine[e] <=> ",NA,"Exchange/demand reactions",1000
